fund_id,category_id
f1,c1
f2,c1
f3,c1
f4,c1
f5,c1
f6,c1
f7,c1
f8,c1
f9,c1
f10,c1
f11,c1
f12,c1
f13,c1
f14,c1
f15,c1
f16,c1
f17,c1
f18,c1
f19,c1
f20,c1
f21,c1
f22,c1
f23,c1
f24,c1
f25,c1
f26,c1
f27,c1
f28,c1
f29,c1
f30,c1
f31,c1
f32,c1
f33,c1
f34,c1
f35,c1
f36,c1
f37,c1
f38,c1
f39,c1
f40,c1
f41,c1
f42,c1
f43,c1
f44,c1
f45,c1
f46,c1
f47,c1
f48,c1
f49,c1
f50,c1
f51,c1
f52,c1
f53,c1
f54,c1
f55,c1
f56,c1
f57,c1
f58,c1
f59,c1
f60,c1
f61,c1
f62,c1
f63,c1
f64,c1
f65,c1
f66,c1
f67,c1
f68,c1
f69,c1
f70,c1
f71,c1
f72,c1
f73,c1
f74,c1
f75,c1
f76,c1
f77,c1
f78,c1
f79,c1
f80,c1
f81,c1
f82,c1
f83,c1
f84,c1
f85,c1
f86,c1
f87,c1
f88,c1
f89,c1
f90,c1
f91,c1
f92,c1
f93,c1
f94,c1
f95,c1
f96,c1
f97,c1
f98,c1
f99,c1
f100,c1
f101,c1
f102,c1
f103,c1
f104,c1
f105,c1
f106,c1
f107,c1
f108,c1
f109,c1
f110,c1
f111,c1
f112,c1
f113,c1
f114,c1
f115,c1
f116,c1
f117,c1
f118,c1
f119,c1
f120,c1
f121,c1
f122,c1
f123,c1
f124,c1
f125,c1
f126,c1
f127,c1
f128,c1
f129,c1
f130,c1
f131,c1
f132,c1
f133,c1
f134,c1
f135,c1
f136,c1
f137,c1
f138,c1
f139,c1
f140,c1
f141,c1
f142,c1
f143,c1
f144,c1
f145,c1
f146,c1
f147,c1
f148,c1
f149,c1
f150,c1
f151,c1
f152,c1
f153,c1
f154,c1
f155,c1
f156,c1
f157,c1
f158,c1
f159,c1
f160,c1
f161,c1
f162,c1
f163,c1
f164,c1
f165,c1
f166,c1
f167,c1
f168,c1
f169,c1
f170,c1
f171,c1
f172,c1
f173,c1
f174,c1
f175,c1
f176,c1
f177,c1
f178,c1
f179,c1
f180,c1
f181,c1
f182,c1
f183,c1
f184,c1
f185,c1
f186,c1
f187,c1
f188,c1
f189,c1
f190,c1
f191,c1
f192,c1
f193,c1
f194,c1
f195,c1
f196,c1
f197,c1
f198,c1
f199,c1
f200,c1
f201,c1
f202,c1
f203,c1
f204,c1
f205,c1
f206,c1
f207,c1
f208,c1
f209,c1
f210,c1
f211,c1
f212,c1
f213,c1
f214,c1
f215,c1
f216,c1
f217,c1
f218,c1
f219,c1
f220,c1
f221,c1
f222,c1
f223,c1
f224,c1
f225,c1
f226,c1
f227,c1
f228,c1
f229,c1
f230,c1
f231,c1
f232,c1
f233,c1
f234,c1
f235,c1
f236,c1
f237,c1
f238,c1
f239,c1
f240,c1
f241,c1
f242,c1
f243,c1
f244,c1
f245,c1
f246,c1
f247,c1
f248,c1
f249,c1
f250,c1
f251,c1
f252,c1
f253,c1
f254,c1
f255,c1
f256,c1
f257,c1
f258,c1
f259,c1
f260,c1
f261,c1
f262,c1
f263,c1
f264,c1
f265,c1
f266,c1
f267,c1
f268,c1
f269,c1
f270,c1
f271,c1
f272,c1
f273,c1
f274,c1
f275,c1
f276,c1
f277,c1
f278,c1
f279,c1
f280,c1
f281,c1
f282,c1
f283,c1
f284,c1
f285,c1
f286,c1
f287,c1
f288,c1
f289,c1
f290,c1
f291,c1
f292,c1
f293,c1
f294,c1
f295,c1
f296,c1
f297,c1
f298,c1
f299,c1
f300,c1
f301,c1
f302,c1
f303,c1
f304,c1
f305,c1
f306,c1
f307,c1
f308,c1
f309,c1
f310,c1
f311,c1
f312,c1
f313,c1
f314,c1
f315,c1
f316,c1
f317,c1
f318,c1
f319,c1
f320,c1
f321,c1
f322,c1
f323,c1
f324,c1
f325,c1
f326,c1
f327,c1
f328,c1
f329,c1
f330,c1
f331,c1
f332,c1
f333,c1
f334,c1
f335,c1
f336,c1
f337,c1
f338,c1
f339,c1
f340,c1
f341,c1
f342,c1
f343,c1
f344,c1
f345,c1
f346,c1
f347,c1
f348,c1
f349,c1
f350,c1
f351,c1
f352,c1
f353,c1
f354,c1
f355,c1
f356,c1
f357,c1
f358,c1
f359,c1
f360,c1
f361,c2
f362,c2
f363,c2
f364,c2
f365,c2
f366,c2
f367,c2
f368,c2
f369,c2
f370,c2
f371,c2
f372,c2
f373,c2
f374,c2
f375,c2
f376,c2
f377,c2
f378,c2
f379,c2
f380,c2
f381,c2
f382,c2
f383,c2
f384,c2
f385,c2
f386,c2
f387,c2
f388,c2
f389,c2
f390,c2
f391,c2
f392,c2
f393,c2
f394,c2
f395,c2
f396,c2
f397,c2
f398,c2
f399,c2
f400,c2
f401,c2
f402,c2
f403,c2
f404,c2
f405,c2
f406,c2
f407,c2
f408,c2
f409,c2
f410,c2
f411,c2
f412,c2
f413,c2
f414,c2
f415,c2
f416,c2
f417,c2
f418,c2
f418,c2
f419,c2
f420,c2
f421,c2
f422,c2
f423,c2
f424,c2
f425,c2
f426,c2
f427,c2
f428,c2
f429,c2
f430,c2
f431,c2
f432,c2
f433,c2
f434,c2
f435,c2
f436,c2
f437,c2
f438,c2
f439,c2
f440,c2
f441,c2
f442,c2
f443,c2
f444,c2
f445,c2
f446,c2
f447,c2
f448,c2
f449,c2
f450,c2
f451,c2
f452,c2
f453,c2
f454,c2
f455,c2
f456,c2
f457,c2
f458,c2
f459,c2
f460,c2
f461,c2
f462,c2
f463,c2
f464,c2
f465,c2
f466,c2
f467,c2
f468,c2
f469,c2
f470,c2
f471,c2
f472,c2
f473,c2
f474,c2
f475,c2
f476,c2
f477,c2
f478,c2
f479,c2
f480,c2
f481,c2
f482,c2
f483,c2
f484,c2
f485,c2
f486,c2
f487,c2
f488,c2
f489,c2
f490,c2
f491,c2
f492,c2
f493,c2
f494,c2
f495,c2
f496,c2
f497,c2
f498,c2
f499,c2
f500,c2
f501,c2
f502,c2
f503,c2
f504,c2
f505,c2
f506,c2
f507,c2
f508,c2
f509,c2
f510,c2
f511,c2
f512,c2
f513,c2
f514,c2
f515,c2
f516,c2
f517,c2
f518,c2
f519,c2
f520,c2
f521,c2
f522,c2
f523,c2
f524,c2
f525,c2
f526,c2
f527,c2
f528,c2
f529,c2
f530,c2
f531,c2
f532,c2
f533,c2
f534,c2
f535,c2
f536,c2
f537,c2
f538,c2
f539,c2
f540,c2
f541,c2
f542,c2
f543,c2
f544,c2
f545,c2
f546,c2
f547,c2
f548,c2
f549,c2
f550,c2
f551,c2
f552,c2
f553,c2
f554,c2
f555,c2
f556,c2
f557,c2
f558,c2
f559,c2
f560,c2
f561,c2
f562,c2
f563,c2
f564,c2
f565,c2
f566,c2
f567,c2
f568,c2
f569,c2
f570,c2
f571,c2
f572,c2
f573,c2
f574,c2
f575,c2
f576,c2
f577,c2
f578,c2
f579,c2
f580,c2
f581,c2
f582,c2
f583,c2
f584,c2
f585,c2
f586,c2
f587,c2
f588,c2
f589,c2
