fund_id,house_id
f1,h1
f2,h2
f3,h2
f4,h2
f5,h2
f6,h2
f7,h2
f8,h2
f9,h2
f10,h2
f11,h2
f12,h2
f13,h2
f14,h2
f15,h2
f16,h2
f17,h2
f18,h2
f19,h2
f20,h2
f21,h2
f22,h2
f23,h2
f24,h3
f25,h3
f26,h3
f27,h3
f28,h3
f29,h3
f30,h3
f31,h3
f32,h3
f33,h3
f34,h4
f35,h4
f36,h4
f37,h4
f38,h4
f39,h4
f40,h4
f41,h4
f42,h4
f43,h4
f44,h4
f45,h5
f46,h5
f47,h5
f48,h5
f49,h5
f50,h6
f51,h6
f52,h6
f53,h6
f54,h6
f55,h7
f56,h8
f57,h8
f58,h8
f59,h8
f60,h8
f61,h8
f62,h8
f63,h9
f64,h10
f65,h10
f66,h10
f67,h10
f68,h10
f69,h10
f70,h10
f71,h10
f72,h10
f73,h10
f74,h10
f75,h10
f76,h11
f77,h11
f78,h11
f79,h11
f80,h11
f81,h11
f82,h11
f83,h12
f84,h12
f85,h12
f86,h12
f87,h12
f88,h12
f89,h12
f90,h12
f91,h12
f92,h12
f93,h12
f94,h12
f95,h13
f96,h13
f97,h13
f98,h14
f99,h14
f100,h14
f101,h14
f102,h14
f103,h14
f104,h14
f105,h14
f106,h14
f107,h14
f108,h14
f109,h14
f110,h14
f111,h14
f112,h14
f113,h15
f114,h15
f115,h15
f116,h15
f117,h15
f118,h15
f119,h15
f120,h15
f121,h15
f122,h15
f123,h15
f124,h15
f125,h15
f126,h7
f127,h7
f128,h7
f129,h7
f130,h7
f131,h7
f132,h7
f133,h7
f134,h7
f135,h7
f136,h7
f137,h7
f138,h7
f139,h7
f140,h7
f141,h7
f142,h7
f143,h7
f144,h7
f145,h7
f146,h7
f147,h7
f148,h7
f149,h7
f150,h7
f151,h7
f152,h7
f153,h7
f154,h7
f155,h7
f156,h7
f157,h7
f158,h7
f159,h7
f160,h7
f161,h7
f162,h7
f163,h16
f164,h16
f165,h16
f166,h16
f167,h16
f168,h16
f169,h16
f170,h16
f171,h16
f172,h17
f173,h17
f174,h18
f175,h18
f176,h18
f177,h18
f178,h18
f179,h19
f180,h19
f181,h19
f182,h19
f183,h19
f184,h19
f185,h19
f186,h19
f187,h19
f188,h19
f189,h19
f190,h19
f191,h19
f192,h20
f193,h20
f194,h20
f195,h20
f196,h20
f197,h20
f198,h20
f199,h20
f200,h20
f201,h20
f202,h20
f203,h20
f204,h20
f205,h20
f206,h20
f207,h20
f208,h20
f209,h21
f210,h21
f211,h21
f212,h21
f213,h21
f214,h22
f215,h22
f216,h22
f217,h22
f218,h22
f219,h22
f220,h22
f221,h22
f222,h22
f223,h23
f224,h23
f225,h23
f226,h23
f227,h23
f228,h23
f229,h23
f230,h23
f231,h23
f232,h23
f233,h23
f234,h23
f235,h24
f236,h24
f237,h24
f238,h9
f239,h9
f240,h9
f241,h9
f242,h9
f243,h9
f244,h9
f245,h9
f246,h9
f247,h9
f248,h9
f249,h9
f250,h9
f251,h9
f252,h9
f253,h9
f254,h9
f255,h9
f256,h9
f257,h9
f258,h9
f259,h9
f260,h9
f261,h9
f262,h25
f263,h25
f264,h26
f265,h26
f266,h26
f267,h26
f268,h27
f269,h27
f270,h27
f271,h27
f272,h27
f273,h28
f274,h28
f275,h28
f276,h28
f277,h28
f278,h28
f279,h28
f280,h28
f281,h28
f282,h28
f283,h28
f284,h28
f285,h28
f286,h28
f287,h28
f288,h28
f289,h28
f290,h28
f291,h28
f292,h28
f293,h28
f294,h28
f295,h29
f296,h29
f297,h30
f298,h30
f299,h30
f300,h30
f301,h30
f302,h30
f303,h30
f304,h30
f305,h30
f306,h30
f307,h30
f308,h31
f309,h31
f310,h31
f311,h31
f312,h31
f313,h31
f314,h31
f315,h31
f316,h31
f317,h31
f318,h31
f319,h31
f320,h31
f321,h31
f322,h31
f323,h31
f324,h31
f325,h31
f326,h31
f327,h32
f328,h32
f329,h32
f330,h32
f331,h32
f332,h32
f333,h32
f334,h12
f335,h33
f336,h33
f337,h33
f338,h33
f339,h33
f340,h33
f341,h33
f342,h33
f343,h34
f344,h34
f345,h34
f346,h34
f347,h34
f348,h34
f349,h34
f350,h34
f351,h34
f352,h34
f353,h34
f354,h34
f355,h34
f356,h34
f357,h34
f358,h34
f359,h34
f360,h34
f361,h1
f362,h1
f363,h2
f364,h2
f365,h2
f366,h2
f367,h2
f368,h2
f369,h2
f370,h2
f371,h2
f372,h2
f373,h2
f374,h2
f375,h2
f376,h3
f377,h3
f378,h3
f379,h3
f380,h3
f381,h3
f382,h3
f383,h3
f384,h3
f385,h3
f386,h4
f387,h4
f388,h4
f389,h4
f390,h4
f391,h4
f392,h4
f393,h4
f394,h4
f395,h4
f396,h4
f397,h4
f398,h4
f399,h4
f400,h5
f401,h5
f402,h5
f403,h5
f404,h6
f405,h6
f406,h6
f407,h6
f408,h6
f409,h6
f410,h6
f411,h6
f412,h11
f413,h11
f414,h11
f415,h11
f416,h8
f417,h8
f418,h8
f418,h8
f419,h8
f420,h8
f421,h8
f422,h8
f423,h10
f424,h10
f425,h10
f426,h10
f427,h10
f428,h10
f429,h10
f430,h10
f431,h10
f432,h10
f433,h11
f434,h11
f435,h11
f436,h12
f437,h12
f438,h12
f439,h12
f440,h12
f441,h12
f442,h13
f443,h13
f444,h13
f445,h14
f446,h14
f447,h14
f448,h14
f449,h14
f450,h14
f451,h14
f452,h14
f453,h14
f454,h14
f455,h14
f456,h14
f457,h15
f458,h15
f459,h15
f460,h15
f461,h15
f462,h15
f463,h15
f464,h15
f465,h15
f466,h15
f467,h15
f468,h7
f469,h7
f470,h7
f471,h7
f472,h7
f473,h7
f474,h7
f475,h7
f476,h7
f477,h7
f478,h7
f479,h7
f480,h7
f481,h7
f482,h7
f483,h16
f484,h16
f485,h16
f486,h16
f487,h16
f488,h16
f489,h16
f490,h16
f491,h17
f492,h18
f493,h18
f494,h18
f495,h18
f496,h19
f497,h19
f498,h19
f499,h19
f500,h19
f501,h19
f502,h19
f503,h19
f504,h19
f505,h19
f506,h19
f507,h19
f508,h20
f509,h20
f510,h20
f511,h20
f512,h20
f513,h20
f514,h21
f515,h21
f516,h21
f517,h21
f518,h22
f519,h22
f520,h22
f521,h22
f522,h22
f523,h23
f524,h23
f525,h24
f526,h9
f527,h9
f528,h9
f529,h9
f530,h9
f531,h9
f532,h9
f533,h9
f534,h9
f535,h9
f536,h9
f537,h9
f538,h9
f539,h9
f540,h9
f541,h9
f542,h25
f543,h26
f544,h26
f545,h26
f546,h26
f547,h26
f548,h27
f549,h27
f550,h28
f551,h28
f552,h28
f553,h28
f554,h28
f555,h28
f556,h28
f557,h28
f558,h28
f559,h28
f560,h28
f561,h28
f562,h30
f563,h30
f564,h30
f565,h30
f566,h30
f567,h30
f568,h30
f569,h30
f570,h31
f571,h31
f572,h31
f573,h31
f574,h31
f575,h33
f576,h33
f577,h33
f578,h34
f579,h34
f580,h34
f581,h34
f582,h34
f583,h34
f584,h34
f585,h34
f586,h34
f587,h34
f588,h34
f589,h34
