fund_id,manager_id
f1,m1
f2,m2
f3,m3
f4,m2
f5,m4
f6,m5
f7,m6
f8,m7
f9,m4
f10,m8
f11,m9
f12,m10
f13,m11
f14,m10
f15,m2
f16,m3
f17,m3
f18,m3
f19,m6
f20,m5
f21,m8
f22,m12
f23,m4
f24,m13
f25,m14
f26,m15
f27,m15
f28,m16
f29,m17
f30,m18
f31,m19
f32,m19
f33,m20
f34,m21
f35,m22
f36,m23
f37,m24
f38,m25
f39,m23
f40,m23
f41,m21
f42,m21
f43,m24
f44,m22
f45,m26
f46,m26
f47,m27
f48,m27
f49,m26
f50,m28
f51,m29
f52,m30
f53,m31
f54,m30
f55,m32
f56,m33
f57,m34
f58,m35
f59,m34
f60,m36
f61,m34
f62,m35
f63,m37
f64,m38
f65,m39
f66,m39
f67,m38
f68,m40
f69,m41
f70,m42
f71,m43
f72,m43
f73,m43
f74,m44
f75,m42
f76,m45
f77,m46
f78,m47
f79,m48
f80,m46
f81,m47
f82,m49
f83,m50
f84,m50
f85,m51
f86,m51
f87,m50
f88,m50
f89,m52
f90,m53
f91,m54
f92,m55
f93,m53
f94,m52
f95,m56
f96,m57
f97,m57
f98,m58
f99,m59
f100,m60
f101,m60
f102,m60
f103,m61
f104,m61
f105,m62
f106,m63
f107,m64
f108,m58
f109,m59
f110,m61
f111,m64
f112,m65
f113,m66
f114,m67
f115,m67
f116,m68
f117,m66
f118,m69
f119,m68
f120,m69
f121,m70
f122,m70
f123,m71
f124,m66
f125,m71
f126,m72
f127,m32
f128,m73
f129,m32
f130,m32
f131,m32
f132,m32
f133,m74
f134,m75
f135,m75
f136,m76
f137,m73
f138,m77
f139,m78
f140,m79
f141,m80
f142,m77
f143,m80
f144,m81
f145,m74
f146,m72
f147,m32
f148,m32
f149,m32
f150,m32
f151,m32
f152,m32
f153,m32
f154,m32
f155,m32
f156,m78
f157,m78
f158,m82
f159,m83
f160,m77
f161,m78
f162,m78
f163,m84
f164,m85
f165,m85
f166,m85
f167,m84
f168,m84
f169,m86
f170,m87
f171,m88
f172,m89
f173,m90
f174,m91
f175,m92
f176,m93
f177,m91
f178,m92
f179,m94
f180,m95
f181,m96
f182,m96
f183,m95
f184,m97
f185,m98
f186,m96
f187,m99
f188,m94
f189,m94
f190,m100
f191,m100
f192,m101
f193,m102
f194,m102
f195,m103
f196,m104
f197,m104
f198,m101
f199,m101
f200,m105
f201,m105
f202,m106
f203,m103
f204,m102
f205,m102
f206,m102
f207,m102
f208,m104
f209,m107
f210,m107
f211,m107
f212,m108
f213,m109
f214,m110
f215,m111
f216,m112
f217,m113
f218,m111
f219,m114
f220,m114
f221,m115
f222,m115
f223,m116
f224,m116
f225,m117
f226,m116
f227,m118
f228,m119
f229,m119
f230,m119
f231,m119
f232,m119
f233,m119
f234,m119
f235,m120
f236,m120
f237,m120
f238,m121
f239,m122
f240,m123
f241,m123
f242,m123
f243,m123
f244,m37
f245,m37
f246,m37
f247,m37
f248,m37
f249,m123
f250,m124
f251,m122
f252,m123
f253,m123
f254,m125
f255,m123
f256,m126
f257,m127
f258,m127
f259,m128
f260,m129
f261,m130
f262,m131
f263,m131
f264,m132
f265,m133
f266,m133
f267,m132
f268,m134
f269,m135
f270,m134
f271,m136
f272,m135
f273,m137
f274,m137
f275,m137
f276,m138
f277,m139
f278,m138
f279,m138
f280,m137
f281,m140
f282,m138
f283,m141
f284,m142
f285,m143
f286,m142
f287,m144
f288,m137
f289,m137
f290,m137
f291,m137
f292,m140
f293,m141
f294,m145
f295,m146
f296,m146
f297,m147
f298,m148
f299,m149
f300,m150
f301,m148
f302,m148
f303,m150
f304,m149
f305,m148
f306,m151
f307,m151
f308,m152
f309,m153
f310,m154
f311,m155
f312,m156
f313,m153
f314,m154
f315,m157
f316,m158
f317,m156
f318,m156
f319,m159
f320,m160
f321,m152
f322,m152
f323,m160
f324,m157
f325,m159
f326,m153
f327,m161
f328,m161
f329,m161
f330,m161
f331,m161
f332,m161
f333,m161
f334,m50
f335,m162
f336,m163
f337,m164
f338,m164
f339,m164
f340,m165
f341,m165
f342,m162
f343,m166
f344,m166
f345,m167
f346,m168
f347,m168
f348,m169
f349,m170
f350,m171
f351,m172
f352,m173
f353,m174
f354,m172
f355,m166
f356,m166
f357,m166
f358,m166
f359,m167
f360,m168
f361,m175
f362,m175
f363,m176
f364,m177
f365,m178
f366,m179
f367,m176
f368,m179
f369,m177
f370,m177
f371,m178
f372,m180
f373,m176
f374,m177
f375,m177
f376,m181
f377,m182
f378,m183
f379,m182
f380,m181
f381,m181
f382,m181
f383,m183
f384,m181
f385,m184
f386,m185
f387,m186
f388,m186
f389,m186
f390,m185
f391,m187
f392,m186
f393,m188
f394,m186
f395,m188
f396,m188
f397,m185
f398,m189
f399,m188
f400,m26
f401,m190
f402,m190
f403,m190
f404,m191
f405,m191
f406,m191
f407,m191
f408,m191
f409,m191
f410,m191
f411,m191
f412,m192
f413,m192
f414,m193
f415,m193
f416,m194
f417,m194
f418,m194
f418,m194
f419,m194
f420,m194
f421,m194
f422,m194
f423,m195
f424,m196
f425,m197
f426,m198
f427,m196
f428,m196
f429,m196
f430,m196
f431,m199
f432,m196
f433,m192
f434,m200
f435,m201
f436,m202
f437,m202
f438,m203
f439,m202
f440,m203
f441,m204
f442,m205
f443,m205
f444,m205
f445,m206
f446,m207
f447,m208
f448,m206
f449,m208
f450,m208
f451,m207
f452,m207
f453,m208
f454,m209
f455,m206
f456,m206
f457,m210
f458,m211
f459,m212
f460,m212
f461,m213
f462,m211
f463,m212
f464,m211
f465,m213
f466,m211
f467,m213
f468,m214
f469,m214
f470,m214
f471,m214
f472,m215
f473,m214
f474,m82
f475,m82
f476,m214
f477,m215
f478,m214
f479,m82
f480,m82
f481,m214
f482,m214
f483,m216
f484,m216
f485,m216
f486,m216
f487,m216
f488,m216
f489,m217
f490,m216
f491,m218
f492,m219
f493,m219
f494,m219
f495,m219
f496,m220
f497,m221
f498,m221
f499,m220
f500,m220
f501,m221
f502,m220
f503,m220
f504,m220
f505,m220
f506,m220
f507,m220
f508,m222
f509,m223
f510,m155
f511,m222
f512,m222
f513,m155
f514,m224
f515,m224
f516,m224
f517,m224
f518,m225
f519,m226
f520,m226
f521,m227
f522,m227
f523,m228
f524,m228
f525,m229
f526,m230
f527,m231
f528,m232
f529,m230
f530,m230
f531,m233
f532,m230
f533,m233
f534,m231
f535,m232
f536,m231
f537,m233
f538,m230
f539,m233
f540,m232
f541,m231
f542,m234
f543,m235
f544,m235
f545,m235
f546,m235
f547,m235
f548,m236
f549,m236
f550,m237
f551,m238
f552,m239
f553,m240
f554,m238
f555,m241
f556,m240
f557,m239
f558,m240
f559,m242
f560,m238
f561,m243
f562,m244
f563,m244
f564,m244
f565,m244
f566,m244
f567,m244
f568,m244
f569,m244
f570,m245
f571,m245
f572,m245
f573,m246
f574,m246
f575,m247
f576,m248
f577,m248
f578,m249
f579,m249
f580,m250
f581,m251
f582,m251
f583,m252
f584,m249
f585,m250
f586,m250
f587,m252
f588,m249
f589,m249
